STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,METHODOLOGY,Measurement method,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1961,,110.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1962,,109.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1963,,110.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1964,,114.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1965,,113,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1966,,114.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1967,,116.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1968,,117.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1969,,118,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1970,,119.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1971,,119.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1972,,121.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1973,,116.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1974,,118.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1975,,117.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1976,,126.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1977,,123.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1978,,127,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1979,,128.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1980,,128.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1981,,132.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1982,,131,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1983,,134.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1984,,137.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1985,,143.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1986,,138.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1987,,140.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1988,,141.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1989,,137.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1990,,139.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1991,,140.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1992,,142.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_FSC(1.0),Food supply and consumption,I,USA,United States,A,Annual,FTS,Fat supply,_T,Total,_T,Total,G_PS_D,Grammes per person per day,_Z,Not applicable,1993,,143.4,,A,Normal value,0,Units,,
